,Index,Well,Leg,Formation,Biozone,Measured Depth (ft),Footage Drilled / hr ,WHP (psig),SiBHP (psig),BHP (psig),Difference,Reservoir Gas Rate (MMSCF/D),BHT (DegF),"Comments, post SNOC input"
0,0,SAJAA-01,LEG C,SHUAIBA,19_S10,10680.0,48.0,234.6,1118,1155,,0.736,,
1,1,SAJAA-01,LEG C,KHARAIB,2_K90,10728.0,62.9,98.0,1118,1108,,0.133,,
2,2,SAJAA-01,LEG C,KHARAIB,20_K80 UPPER,10791.0,30.5,115.9,1118,1091,,0.008,,
3,3,SAJAA-01,LEG C,KHARAIB,21_K80 MID/LOWER,10821.0,14.1,112.3,1118,1075,,0.0,,
4,4,SAJAA-01,LEG C,KHARAIB,21_K80 MID/LOWER,10836.0,45.4,106.1,1118,1055,,0.063,,
5,5,SAJAA-01,LEG C,KHARAIB,23_K70,10881.0,13.6,108.7,1118,1045,,0.0,,
6,6,SAJAA-01,LEG C,KHARAIB,23_K70,10895.0,36.2,111.3,1118,1047,,0.0,,
7,7,SAJAA-01,LEG C,KHARAIB,24_K60,10931.0,37.7,120.7,1118,1045,,0.42,,
8,8,SAJAA-01,LEG C,KHARAIB,24_K60,10968.0,61.2,120.2,1118,1037,,0.04,,
9,9,SAJAA-01,LEG C,KHARAIB,25_K50,11030.0,13.4,228.1,1118,1030,,0.0,,
10,10,SAJAA-01,LEG C,KHARAIB,26_K40 UPPER,11043.0,18.1,261.7,1118,1055,,0.033,,
11,11,SAJAA-01,LEG C,KHARAIB,26_K40 UPPER,11061.0,19.9,114.0,1118,1043,,-0.398,,
12,12,SAJAA-01,LEG C,KHARAIB,27_K40 LOWER,11081.0,72.0,135.3,1118,1016,,-0.069,,
13,13,SAJAA-01,LEG C,KHARAIB,28_K30 UPPER,11153.0,23.0,155.0,1118,1008,,0.861,,
14,14,SAJAA-01,LEG C,KHARAIB,3_K20,11176.0,67.0,135.8,1118,1011,,0.439,,
15,15,SAJAA-01,LEG C,LEKHWAIR,41_L100,11243.0,30.0,234.3,1118,1016,,0.104,,
16,16,SAJAA-01,LEG C,LEKHWAIR,31_L80,11273.0,52.7,150.1,1118,1006,,0.24,,
17,17,SAJAA-01,LEG C,LEKHWAIR,32_L70,11326.0,50.3,111.9,1118,998,,-0.1,,
18,18,SAJAA-01,LEG C,LEKHWAIR,32_L70,11376.0,63.7,164.7,1118,996,,0.248,,
19,19,SAJAA-01,LEG C,LEKHWAIR,33_L60,11440.0,54.8,175.4,1118,988,,0.57,,
20,20,SAJAA-01,LEG C,LEKHWAIR,33_L60,11495.0,21.0,125.8,1118,998,,-0.38,,
21,21,SAJAA-01,LEG C,LEKHWAIR,34_L50,11516.0,50.5,133.2,1118,1002,,0.626,,
22,22,SAJAA-01,LEG C,LEKHWAIR,34_L50,11566.0,98.9,141.5,1118,998,,0.152,,
23,23,SAJAA-01,LEG C,LEKHWAIR,34_L50,11665.0,40.4,203.9,1118,979,,0.289,,
24,24,SAJAA-01,LEG C,LEKHWAIR,35_L45,11705.0,47.7,254.2,1118,1010,,0.044,,
25,25,SAJAA-01,LEG C,LEKHWAIR,35_L45,11753.0,43.0,155.7,1118,1009,,0.043,,
26,26,SAJAA-01,LEG C,LEKHWAIR,36_L42,11796.0,14.0,133.0,1118,1003,,0.656,,
27,27,SAJAA-01,LEG C,LEKHWAIR,36_L42,11810.0,35.0,153.3,1118,983,,0.877,,
28,28,SAJAA-01,LEG C,LEKHWAIR,37_L38,11845.0,85.0,140.7,1118,1003,,0.538,,
29,29,SAJAA-01,LEG C,LEKHWAIR,37_L38,11930.0,1.0,112.8,1118,998,,0.992,,
30,30,SAJAA-01,LEG C,LEKHWAIR,37_L38,11931.0,52.0,109.5,1118,976,,0.225,,
31,31,SAJAA-01,LEG C,LEKHWAIR,38_L35,11983.0,27.0,124.8,1118,1015,,0.681,,
32,32,SAJAA-01,LEG C,LEKHWAIR,38_L35,12010.0,20.4,183.9,1118,985,,1.038,,
33,33,SAJAA-01,LEG C,LEKHWAIR,38_L35,12030.0,43.5,162.1,1118,984,,0.738,,
34,34,SAJAA-01,LEG C,LEKHWAIR,38_L35,12074.0,56.9,167.3,1118,998,,0.523,,
35,35,SAJAA-01,LEG C,LEKHWAIR,38_L35,12131.0,59.2,121.5,1118,995,,0.374,,
36,36,SAJAA-01,LEG C,LEKHWAIR,38_L35,12190.0,21.0,122.9,1118,1002,,0.532,,
37,37,SAJAA-01,LEG C,LEKHWAIR,38_L35,12211.0,78.7,135.7,1118,998,,0.424,,
38,38,SAJAA-01,LEG C,LEKHWAIR,38_L35,12290.0,48.6,122.3,1118,986,,0.691,,
39,39,SAJAA-01,LEG C,LEKHWAIR,39_L33,12338.0,19.7,133.1,1118,983,,0.718,,
40,40,SAJAA-01,LEG C,LEKHWAIR,39_L33,12358.0,78.7,279.2,1118,1011,,0.0,,
41,41,SAJAA-01,LEG D,LEKHWAIR,37_L38,11882.0,20.0,143.9,1118,964,,0.973,,
42,42,SAJAA-01,LEG D,LEKHWAIR,37_L38,11902.0,45.1,123.1,1118,916,,1.21,,
43,43,SAJAA-01,LEG D,LEKHWAIR,38_L35,11947.0,31.9,110.7,1118,925,,0.793,,
44,44,SAJAA-01,LEG D,LEKHWAIR,38_L35,11979.0,44.7,112.7,1118,929,,0.53,,
45,45,SAJAA-01,LEG D,LEKHWAIR,38_L35,12024.0,34.5,112.7,1118,924,,0.728,,
46,46,SAJAA-01,LEG D,LEKHWAIR,38_L35,12058.0,48.2,124.1,1118,927,,0.731,,
47,47,SAJAA-01,LEG D,LEKHWAIR,39_L33,12106.0,26.1,108.8,1118,928,,0.941,,
48,48,SAJAA-01,LEG D,LEKHWAIR,39_L33,12133.0,58.5,116.5,1118,936,,1.071,,
49,49,SAJAA-01,LEG D,LEKHWAIR,39_L33,12191.0,67.8,101.9,1118,932,,0.889,,
